id,comment
0,"¡DIRECTO ESPECIAL ROYAL RUMBLE!

Este sábado haremos nuestro tradicional directo de Royal Rumble para miembros con Ilie y el resto del equipo. Y antes estaremos en abierto en directo en YouTube haciendo un tierlist de fichajes de Pep Guardiola en el Manchester City.

¡No te lo pierdas!"
1,Murillo
2,"24:10 es mucho mejor para la competitividad que todos los equipos tengan que enfrentarse a algunos de los mejores y no a todos/ninguno

Pasó en varias ocasiones ver cruces de un nivel espectacular mientras que de otro lado había puro equipo sin tanto nivel"
3,"13:05 Este bracket se parece a los del March Madness. (Básquetbol colegial de USA)
Creo que, como fans del fútbol no estamos acostumbrados a esto. Pero, así se da en el Básquet, en el Beis u otros deportes."
4,El unico formato que no me gusta es el de mi vida
5,"que se clasifiquen del 1 al 16 y directos a octavos ya enfrentamientos del primero contra ultimo y despues a sorteo puro, y del 16 a alguno adelante a europa league"
6,"10:24 Coincido plenamente, y el City se hizo emocionante hasta el 2-1, luego ya daba la sensación de que el brujas no tenia con que y ya me dejo de interesar. Distinto pasa con un partido de la Premier donde sabes que siempre algo interesante puede pasar."
7,"Esto ya está inventado en la NFL,  sin necesidad de cargarse el playoff. El peor siempre juega contra el mejor según va avanzando rondas. El único problema de esto es que nunca puedes tener un bracket establecido porque en cada ronda hay que esperar a las clasificaciones para reordenar los cruces"
8,"Una solución a los emparejamientos después del play-in es emparejar los equipos ganadores del play-in con los ya clasificados por orden de resultados en la fase de liga. Es decir, si el 24º se carga al 9º que caiga contra el 1º o 2º y si pasan del play-in el 13º y el 21º que se les empareje por orden inverso con los ya clasificados. Además esto haría que todos estuviesen más pendientes de TODOS los partidos porque, por ejemplo, el 6º no depende de 2 brackets, depende de como se vayan dando todos"
9,No podéis quejaros de que la posición no ayude a tener mejores cruces y a los 4 minutos quejaros de que no pueden enfrentarse primero y segundo. No os parece que se da valor a la Fase Liga? Es que os molesta todo.
10,A mi he gustado pero hay detalles que se puede mejorar ... pero es mucho mejor que el formato anterior
11,"Acabo de ver el vídeo y ahora me gusta más el formato, gracias Pacho."
12,"8:29 con la Atalanta NO eh, Pablo 🫵 ,que es un equipo impresionante"
13,
14,"Con respecto al minuto 10:00 el Stuttgart tambien se jugaba entrar o no entrar. De hecho, al perder contra el PSG quedo fuera cuando al empezar la jornada estaba clasificado."
15,"El formato me parecería increíble si solo entrarán 16 equipos, y se fumaran a la otra mitad, sin playoffs ni mierdas "
16,"La opinión se sabía desde antes de ver el vídeo, ya habíais echo antes unos cuantos criticandolo, llamándolo incluso basura, ahora es difícil dar marcha atrás imagino...
Pero vamos yo era de los que no le gustaba a priori, pero se ha comprobado ser más dinámico y atractivo que el anterior"
17,"No es hate. Me gustaría que hicieras vuestro formato ideal, saludos!"
18,Es 10 veces mejor que el formato anterior.
19,"8:19     
Perdona Nacho, me lo repites? Me perdí en tus bíceps,,,"
20,nada que ver con el relato de la caverna cuando es afectado el trampas
21,19:55 los que jugamos Fútbol Manager y ganamos la Champions cumpliendo el ejemplo que puso Pablo entenderemos
22,"Buen vídeo, muchachos.  Vosotros habéis verbalizado todo aquello que pienso del nuevo formato Champions."
23,"Sorteos para que? Para que se hable de bolas calientes como en los últimos años, prefiero un formato preestablecido que premie las posiciones en fase liga."
24,"No estoy de acuerdo en que sea injusto. De hecho me parece mas justo que los grupos. Ahora te puede tocar un ""calendario de la muerte"" similar al grupo ese que comentais de PSG, Milan, Dortmund y Newcastle, y sin embargo tener opciones de pasar, cuando antes dos de esos ya estaban condenados a eliminarse, mientras otros en grupos mucho mas faciles pasaban. El sorteo del calendario sigue teniendo los mismos condicionantes de bombos que los grupos, ahi entra la suerte igual, pero después tienes mas opciones de pasar."
25,"Pues totalmente en desacuerdo. A mi el formato no me gustaba al inicio, pero negar que ha sido las emocionante y que uno de los dos ultimos campeones de Champions no va a llegar ni a Octavos de final es alucinante. Además, me da risa que digan lo de que el premio es al PSG por ejemplo por sus cruces, pero el Aston Villa lo hizo genial y podria llegar lejos representando a la Premier gracias a esos sorteos benevolentes.
No se, me parece que es llorar por llorar ya.
Todos sabemos porqué se puso este formato, pero que de momento ha sido exitoso no se puede negar."
26,La cantidad de falacias lógicas a incoherencias por minuto es brutal. Son peticiones de principio y argumentos ad hominem realmente burdos todo el rato.
27,Si que había más equipos que se jugasen algo como el studgartt que debido a su derrota y a la victoria del city acabaron fuera 9:20
28,"Que Manchester City, Real Madrid o Bayern de Münich, mínimo uno de los tres no va a clasificarse ni  a octavos, ya es mucho más sorprendente y más emocionante que todo lo que había en el formato anterior. ¿Que no es un formato perfecto? Ninguno lo es, pero que es mejor que el anterior, seguro.
Y ya lo de la justicia... No quiero entrar en filias y fobias porque os quiero muchísimo, pero la Champions League es el torneo más injusto que existe."
29,"Me parece un error decir que solo 2 partidos importaban, porque habian como 12 equipos luchando por entrar entre los primeros 8, que eso es importante porque evitas una ronda extra"
30,"Yo si pudiera dejaría todo tal cual porque me parece muy emocionante ver clasificados a todos los clubes juntos peleando por un puesto para play off.
Solo trataría de que estén BIEN CLASIFICADOS LOS BOMBOS porque para mí esa es la VERDADERA RAZÓN de que haya disparidades, ya que cada equipo juega 2 partidos contra equipos de cada bombo, lo cual a 4 jornadas te lo paso pero a 8 jornadas difícilmente hay injusticias, ej. el Brest (que objetivamente no tiene mal nivel, viene jugando bien) que todos se quejaban de que se vio beneficiado por el calendario nadie se fijó que luego le venia el Barça y Madrid y se nivelo.

Ejemplo de que esto de los bombos está mal es el Celtic, que además de tener suerte de toparse a los 2 o 3 más malos (suerte que pudo pasar con cualquier formato que en el sorteo te empareje con uno malo) no solo eso sino que se topo y ganó a un equipo bombo 1 como el Leipzing que no debería estar ahí además de que viene jugando mal.

También podrías decir que contrariamente el Leipzing salió perjudicado por el calendario, y es verdad que tuvo mala suerte justo le tocó jugar contra los vengadores y al Villa no le jugó mal (y repito en otro formato alguno también tiene mala suerte con los sorteos o grupo de la muerte es lo mismo), pero contra Celtic y sturm gras no puedes perder y lo hicieron

Para mí debería tomarse en cuenta el coeficiente de la última temporada y NO los últimos 5 años para los bombos y tan tan.

Y también es verdad que ojalá se tomen medidas de alguna forma para que clubes grandes y avariciosos no se salgan con la suya de jugar taaantos partidos y no veamos jugar por lesión por tanto tiempo a nuestras estrellas. 
Se tenía que decir y se dijo, quería desahogarme, mucho texto"
31,"Saludos, que puedo decir, totalmente en desacuerdo, bueno exgero el algunos puntos, en fin prefiero este formato que el otro, cuidense y bendiciones "
32,"buen video, yo lo haría a la Euroliga, tenemos ahí un buen ejemplo. Liga de 16 equipos, 15 partidos (sólo ida y donde toque, eso sí ha podido estar bien este año), y luego los 8 primeros a los míticos cuartos de ida y vuelta, el 1 vs 8, 2 vs 7..etc y luego semis igual que cuartos o final four. Cierto que salen 20 partidos (19 con final four) pero que no haya tantos parones. Cierto que jugarian 16 equipos y habria que definir quienes juegan, igual habria que volver a los 2 por país grande y 1 por pequeño, fomenta tambien las ligas. O jugar una fase previa a ida y vuelta con equipos de paises de peor rango para ver quien entra en los 16...
Está claro que aún falta por mejorar, pero como decís, al menos ya se están interesando"
33,"6:15 Entiendo el punto, pero al final es lo mismo. Sigue habiendo un factor de azar, solo que ahora la “mala suerte” no la comparten los tres de un grupo de la muerte, sino los tres con el peor calendario, que capaz ni se enfrentan entre ellos.

Es más, hasta puede pasar que los tres con más mala suerte terminen clasificando, mientras que antes ya condenabas a uno solo por el sorteo. Eso sí me parecía más injusto.

Y otra cosa: la Champions nunca ha sido, ni será, un torneo que busque justicia o demostrar quién es el mejor de Europa. Como bien dijeron, si de verdad fuera representativo, todos jugarían contra todos. Así que, tomando en cuenta eso, yo en la Champions no busco justicia busco emoción, y este formato me lo ha dado.

Está de más aclarar que respeto muchísimo su opinión, y efectivamente me metí a este video para conocer todos los puntos de vista sobre este formato, saludos!"
34,"El formato tiene cosas que no me gustan, pero el anterior era muuucho peor"
35,"cualquier novedad siempre tendra resistencia al cambio, deberia haber un ajuste con el tema de los bombos, hay equipos del 3cer bombo del sorteo lo tuvieron facil como el brest u otro equipos."
36,"12:10 este argumento es absolutamente estúpido, el seeding de un cuadro funciona así desde siempre y es lo más justo que hay. Lo norma es que gane el 9/10, no el 23/24, lo que quita ventaja al que ha quedado 7/8"
37,"La última jornada fue espectacular. En en 15min había ya muchísimos goles, y cada gol cambiaba los emparejamientos de 1/16 y 1/8"
38,"Como colombiano puedo decir que el formato hace mas mediocre la competición, puesto que hace lo mismo de nuestra liga. Aquí clasifican a una siguiente ronda 8 equipos de 20, por lo cual no aspiras a ser el mejor, aspiras a entrar en los 8 y por lo general el que sale campeón es el que llega en mejor racha, pocas veces el primero o segundo del todos contra todos (fase regular) sale campeón. 

El formato de liga para mi estaría bien si clasifican los 16 primeros y se enfrentan 1-16, 2-15 y así sucesivamente, como se hacía en la bendita Copa Libertadores hasta hace unos años.

Gran vídeo como siempre muchachosn"
39,"A ver nacho para empezar, no importa cual formato se haya utilizado la champions nunca ha sido una competencia que busque la justicia, si no la emoción y la suerte , el liverpool campeon 2005 , el chelsea 2012, el madrid 2022  ninguno de esos fue el mejor equipo de la temporada ni mucho menos, pero fueron campeones gracias a remontadas epicas e inexplicables , donde intervienen otros factores menos la justica"
40,"El Manchester City hizo 11 puntos de 24, que en el formato de 18 puntos serían 8.25. El año pasado, solo se quedaron Milan, Lens y Shaktar haciendo 8 y 9, todos pasando a Europa League, y el Milan estando con Dortmund y PSG"
41,"19:40 pero por que son 8 partidos!!! Ay por favor lo que hay que escuchar eso no es argumento para decir que eo formato liga es injusto por dejar vivo a 5 más, ademas el city no gano solo 3 partidos, quedo invicto en 5 partidos ganando 3 y empatando 2, con la soga hasta el cuello pero clasifico a los play off que ahora encima le toca uno gordo como el madrid, dime tu que ventaja hay en eso? Son puras desventajas porque es saturacion para su calendario, es un partido muy exigente que de haber quedado un par de posiciones mas arriba se hubiera evitado"
42,"Voy a copiar y pegar mi comentario que dejé en el podcast de ABP porque es literalmente mi mayor opinión del formato:
Me parece bastante tonto lo de sortear playoffs. Si ya van a hacer una fase de liga comprométanse y que juegue el mejor contra el peor y listo (9-24, 10-23, etc)

Hazlo en plan como se hace la NFL, o como se hacía la Libertadores (no sé si aún se hace). Dale una importancia a las posiciones o van a importar aún menos"
43,"Yo creo que este formato esta mucho mejor, como siempre hay equipos favoritos que se dan por hecho que pasan pero han fallado muchos, con el formato antiguo ya viendo los grupos se sabia quien pasaba y quien no, con alguna sorpresa que se iba a europa league pero no mucho más, en esta hasta la ultima fecha habia duelos por abajo y por arriba."
44,"se viene la superliga chavules
podias hacer un video hablando de su formato por cierto, desde un punto de vista objetivo ya que no trabajais en movistar y teneis pelo"
45,"Si hay una forma de corregir lo del 24 vs el 8:

Hacer sorteo/acomodo fase por fase y los bombos se armen en base a la clasificación."
46,"4 grupos de 9 equipos, juegan en este mismo formato (entre ellos). Del 1ro al 3ro entran directos. 4to y 5to van a sorteo con los 4tos y 5tos de los otros grupos para un playoff a octavos. Ahi creo que se hace un poco más justo y la UEFA sigue teniendo sus partidos."
47,"Me parece que solo se esta considerando desde el punto de vista de los clubes grandes y se esta ignorando el de los clubes mas pequeños. Cuando en el formato anterior era seguro que todos los clubes del bombo 1 llegaban a 8vos, hoy solo clasificaron 5 y 3 de los demás bombos, y quien te dice no cae alguno mas en un mal día de 16avos. Por otra parte, el mismo privilegio del City lo tuvo el Brujas, lo tuvo el Lisboa que también clasificaron a 16avo con menos de la mitad de los puntos. Hoy esta Champions 24/25 casi garantiza que un equipo del bombo 3 o 4 este en 4tos de final, y quien te dice con suerte no sea una semifinal.  15 equipos jugándose o la clasificación a 16avos o aliviar el calendario entrando directo a 8vos. Me parece que el concepto de darle vidas a los equipos aplica también a los mas pequeños y quien te dice, en un mano a mano, no den la sorpresa como en las Champions League de antaño. Me parece mas positivo que negativo por todo ello, obviamente tiene cosas para corregir. Y me gustaría saber algo que se utiliza mucho para definir si sirvió algo hoy en día, que son las interacciones en internet y redes sociales. Saludos, abrazo grande"
48,"La verdad, esta última jornada si me pareció muy interesante. En el formato anterior la última jornada era un trámite donde ya sabíamos quién estaba clasificado salvo 1 o 2 grupos random, el único problema ahora es que clasifican casi todos, entonces aunque se movió mucho la tabla, prácticamente nada cambio. Deberían clasificar solo los primeros 16 con los primeros 8 cerrando en casa y seria el mejor formato."
49,"En teoria los bombos iniciales es para hacerlo mas representativo, aunque luego se den caminos mas faciles o difíciles durante la fase de grupos"
50,"Para mi lo ideal serían 4 grupos de 8 y que pasen los 4 primeros de cada grupo, luego sorteo entre 1º y 4º y sorteo entre 3º y 4º. En la fase de grupos solo 1 partido(7en total). Tienes rivales más variados, se premia cada puesto y de los 4 bombos iniciales (2 de cada bombo por grupo) tienes rivales del mismo bombo."
51,"A mí dejando de lado la carga física extra a los futbolistas el formato me gusta, se habla mucho de que el Man Citi sigue vivo pero el Madrid o el Bayern con ese porcentaje de partidos ganados y empatados en el antiguo formato estaría en octavos directo y ahora están a una eliminatoria de no solo no entrar en champions sino de ni siquiera ir a europa league este formato castiga a los equipos que hubieran quedado segundos para beneficiar a los que hubieran quedado terceros y para mí eso es más justo además de ver mas partidos entre equipos grandes ya q hay más partidos en general"
52,"Yo creo que una solución a la fase de pre-octavos es cruces prefijados y clasificación vs el top 8 según tu clasificación general:
1. Si acabas el 9, contra el 24, y asi sucesivamente. Nada de opciones 50/50
2. Y de los que se clasifican, el que peor estaba clasificado en la liga regular es el que le toca al 1° del top 8, y asi sucesivamente.
No habria problemas, todo seria claro, y acabar más alto o más bajo sería una obligación porque cambiaría todo el paradigma de tus cruces."
53,Un poco de Quechua en la intro de Pablo. Saludos de Perú LMI
54,"Ya os lo dije en el anterior video que hicisteis sobtre el formato. NO SOIS OBJETIVOS. Partis desde la base de que no os gusta y seleccionais los argumentos que os convienen, es una pena porque normalmente haceis los analisis con mas objetividad. Este formato te puede gustar mas o menos pero tiene la ventaja de ser mas justo, vosotros que decís siempre defender a los mas modestos. Antes los modestos jugaban con 3 equipos superiores, y los del bombo 1 solo con equipos inferiores, ahora es mas igualado. La prueba es la clasificacion de Brest, Lille, celtic etc"
55,Viendolo desde afuera (soy argentino) me gustó bastante el formato. Hace varios años no miraba la primera fase de la champions y este año vi varios partidos.
56,"También está última jornada este año ha estado muy clara, pero otro año podría ser una locura con muchos más equipos jugándose la vida.  Dicho esto no hay 36 equipos decentes y se ha visto."
57,"Pifia Nacho Fantasma 10:04
“A bote pronti”
Se cree muy italiano "
58,"Tal vez el formato se podria mejorar con solo 20 equipos que pasen. Top 4 los premias con pase directo a 4tos (haces que la fase liga le den la importancia que se busca) del 5 a 8 pasa a octavos (premias que hayan hecho un trabajo decente) y generas 2 rondas de play off para vender los ""super partidos a muerte"" que quieren vender y les das una linea a los equipos grandes que hagan papelones como el city este año. Un primer play off a unico partido del 13 al 20 y un segundo play off del 9 al 12 vs los ganadores del primer play off a un unico partido (en casa del mejor clasificado). De ahi sacas los que entran a los ""8vos"" y despues haces el bracket clasico de cuartos hasta la final con un sorteo entre los 4 primeros vs los que 4 que sacaste a base de los play off. Sigues solo con 2 partidos extra y les das el premio que se merecen a los equipos que si fueron constantes."
59,"""el fútbol es fútbol"" Pablo Espinosa, 2025, grandes joyas del periodismo español"
