"annotation_id","annotator","comment","created_at","id","lead_time","sentiment","updated_at"
1,"1","¡DIRECTO ESPECIAL ROYAL RUMBLE!

Este sábado haremos nuestro tradicional directo de Royal Rumble para miembros con Ilie y el resto del equipo. Y antes estaremos en abierto en directo en YouTube haciendo un tierlist de fichajes de Pep Guardiola en el Manchester City.

¡No te lo pierdas!","2025-02-28T10:06:21.097149Z",0,179.23,"Irrelevant","2025-02-28T10:06:21.097342Z"
2,"1","Murillo","2025-02-28T10:06:42.278455Z",1,2.604,"Irrelevant","2025-02-28T10:06:42.278497Z"
3,"1","24:10 es mucho mejor para la competitividad que todos los equipos tengan que enfrentarse a algunos de los mejores y no a todos/ninguno

Pasó en varias ocasiones ver cruces de un nivel espectacular mientras que de otro lado había puro equipo sin tanto nivel","2025-02-28T10:07:14.815166Z",2,35.361,"Positive","2025-02-28T10:07:14.815209Z"
4,"1","13:05 Este bracket se parece a los del March Madness. (Básquetbol colegial de USA)
Creo que, como fans del fútbol no estamos acostumbrados a esto. Pero, así se da en el Básquet, en el Beis u otros deportes.","2025-02-28T10:07:36.665390Z",3,19.829,"Neutral","2025-02-28T10:07:36.665429Z"
5,"1","El unico formato que no me gusta es el de mi vida","2025-02-28T10:09:25.939826Z",4,108.021,"Irrelevant","2025-02-28T10:09:25.939870Z"
6,"1","que se clasifiquen del 1 al 16 y directos a octavos ya enfrentamientos del primero contra ultimo y despues a sorteo puro, y del 16 a alguno adelante a europa league","2025-02-28T10:09:40.289970Z",5,12.146,"Neutral","2025-02-28T10:09:40.290013Z"
7,"1","10:24 Coincido plenamente, y el City se hizo emocionante hasta el 2-1, luego ya daba la sensación de que el brujas no tenia con que y ya me dejo de interesar. Distinto pasa con un partido de la Premier donde sabes que siempre algo interesante puede pasar.","2025-02-28T10:10:00.798559Z",6,20.613,"Irrelevant","2025-02-28T10:10:06.075368Z"
8,"1","Esto ya está inventado en la NFL,  sin necesidad de cargarse el playoff. El peor siempre juega contra el mejor según va avanzando rondas. El único problema de esto es que nunca puedes tener un bracket establecido porque en cada ronda hay que esperar a las clasificaciones para reordenar los cruces","2025-02-28T10:10:31.038070Z",7,23.957,"Negative","2025-02-28T10:10:31.038113Z"
9,"1","Una solución a los emparejamientos después del play-in es emparejar los equipos ganadores del play-in con los ya clasificados por orden de resultados en la fase de liga. Es decir, si el 24º se carga al 9º que caiga contra el 1º o 2º y si pasan del play-in el 13º y el 21º que se les empareje por orden inverso con los ya clasificados. Además esto haría que todos estuviesen más pendientes de TODOS los partidos porque, por ejemplo, el 6º no depende de 2 brackets, depende de como se vayan dando todos","2025-02-28T10:11:02.930756Z",8,28.613,"Neutral","2025-02-28T10:11:02.930798Z"
10,"1","No podéis quejaros de que la posición no ayude a tener mejores cruces y a los 4 minutos quejaros de que no pueden enfrentarse primero y segundo. No os parece que se da valor a la Fase Liga? Es que os molesta todo.","2025-02-28T10:11:23.239261Z",9,17.411,"Negative","2025-02-28T10:11:23.239354Z"
11,"1","A mi he gustado pero hay detalles que se puede mejorar ... pero es mucho mejor que el formato anterior","2025-02-28T10:11:35.750393Z",10,11.121,"Positive","2025-02-28T10:11:35.750436Z"
12,"1","Acabo de ver el vídeo y ahora me gusta más el formato, gracias Pacho.","2025-02-28T10:11:40.793066Z",11,3.442,"Positive","2025-02-28T10:11:40.793111Z"
13,"1","8:29 con la Atalanta NO eh, Pablo 🫵 ,que es un equipo impresionante","2025-02-28T10:11:47.663114Z",12,4.675,"Irrelevant","2025-02-28T10:11:47.663178Z"
14,"1","","2025-02-28T10:11:54.658452Z",13,1.749,"Irrelevant","2025-02-28T10:11:54.658477Z"
15,"1","Con respecto al minuto 10:00 el Stuttgart tambien se jugaba entrar o no entrar. De hecho, al perder contra el PSG quedo fuera cuando al empezar la jornada estaba clasificado.","2025-02-28T10:12:01.512586Z",14,5.411,"Irrelevant","2025-02-28T10:12:01.512636Z"
16,"1","El formato me parecería increíble si solo entrarán 16 equipos, y se fumaran a la otra mitad, sin playoffs ni mierdas ","2025-02-28T10:12:19.451446Z",15,16.138,"Neutral","2025-02-28T10:12:19.451484Z"
17,"1","La opinión se sabía desde antes de ver el vídeo, ya habíais echo antes unos cuantos criticandolo, llamándolo incluso basura, ahora es difícil dar marcha atrás imagino...
Pero vamos yo era de los que no le gustaba a priori, pero se ha comprobado ser más dinámico y atractivo que el anterior","2025-02-28T10:12:39.893028Z",16,18.532,"Positive","2025-02-28T10:12:39.893076Z"
18,"1","No es hate. Me gustaría que hicieras vuestro formato ideal, saludos!","2025-02-28T10:12:47.093770Z",17,5.763,"Irrelevant","2025-02-28T10:12:47.093812Z"
19,"1","Es 10 veces mejor que el formato anterior.","2025-02-28T10:12:52.241173Z",18,3.217,"Positive","2025-02-28T10:12:52.241219Z"
20,"1","8:19     
Perdona Nacho, me lo repites? Me perdí en tus bíceps,,,","2025-02-28T10:12:56.724746Z",19,3.147,"Irrelevant","2025-02-28T10:12:56.724791Z"
21,"1","nada que ver con el relato de la caverna cuando es afectado el trampas","2025-02-28T10:13:29.814711Z",20,12.044,"Neutral","2025-02-28T10:13:29.814736Z"
22,"1","19:55 los que jugamos Fútbol Manager y ganamos la Champions cumpliendo el ejemplo que puso Pablo entenderemos","2025-02-28T10:14:13.050655Z",21,41.857,"Irrelevant","2025-02-28T10:14:13.050690Z"
23,"1","Buen vídeo, muchachos.  Vosotros habéis verbalizado todo aquello que pienso del nuevo formato Champions.","2025-02-28T10:14:25.650187Z",22,10.747,"Irrelevant","2025-02-28T10:14:25.650235Z"
24,"1","Sorteos para que? Para que se hable de bolas calientes como en los últimos años, prefiero un formato preestablecido que premie las posiciones en fase liga.","2025-02-28T10:14:32.205730Z",23,4.55,"Negative","2025-02-28T10:14:32.205774Z"
25,"1","No estoy de acuerdo en que sea injusto. De hecho me parece mas justo que los grupos. Ahora te puede tocar un ""calendario de la muerte"" similar al grupo ese que comentais de PSG, Milan, Dortmund y Newcastle, y sin embargo tener opciones de pasar, cuando antes dos de esos ya estaban condenados a eliminarse, mientras otros en grupos mucho mas faciles pasaban. El sorteo del calendario sigue teniendo los mismos condicionantes de bombos que los grupos, ahi entra la suerte igual, pero después tienes mas opciones de pasar.","2025-02-28T10:14:37.676975Z",24,3.963,"Negative","2025-02-28T10:14:37.677020Z"
26,"1","Pues totalmente en desacuerdo. A mi el formato no me gustaba al inicio, pero negar que ha sido las emocionante y que uno de los dos ultimos campeones de Champions no va a llegar ni a Octavos de final es alucinante. Además, me da risa que digan lo de que el premio es al PSG por ejemplo por sus cruces, pero el Aston Villa lo hizo genial y podria llegar lejos representando a la Premier gracias a esos sorteos benevolentes.
No se, me parece que es llorar por llorar ya.
Todos sabemos porqué se puso este formato, pero que de momento ha sido exitoso no se puede negar.","2025-02-28T10:14:53.952354Z",25,14.956,"Positive","2025-02-28T10:14:53.952394Z"
27,"1","La cantidad de falacias lógicas a incoherencias por minuto es brutal. Son peticiones de principio y argumentos ad hominem realmente burdos todo el rato.","2025-02-28T10:15:05.513459Z",26,9.413,"Irrelevant","2025-02-28T10:15:05.513500Z"
28,"1","Si que había más equipos que se jugasen algo como el studgartt que debido a su derrota y a la victoria del city acabaron fuera 9:20","2025-02-28T10:15:12.352289Z",27,5.389,"Irrelevant","2025-02-28T10:15:12.352329Z"
29,"1","Que Manchester City, Real Madrid o Bayern de Münich, mínimo uno de los tres no va a clasificarse ni  a octavos, ya es mucho más sorprendente y más emocionante que todo lo que había en el formato anterior. ¿Que no es un formato perfecto? Ninguno lo es, pero que es mejor que el anterior, seguro.
Y ya lo de la justicia... No quiero entrar en filias y fobias porque os quiero muchísimo, pero la Champions League es el torneo más injusto que existe.","2025-02-28T10:15:36.595659Z",28,20.529,"Negative","2025-02-28T10:15:36.595699Z"
30,"1","Me parece un error decir que solo 2 partidos importaban, porque habian como 12 equipos luchando por entrar entre los primeros 8, que eso es importante porque evitas una ronda extra","2025-02-28T10:15:46.451112Z",29,6.662,"Irrelevant","2025-02-28T10:15:46.451152Z"
31,"1","Yo si pudiera dejaría todo tal cual porque me parece muy emocionante ver clasificados a todos los clubes juntos peleando por un puesto para play off.
Solo trataría de que estén BIEN CLASIFICADOS LOS BOMBOS porque para mí esa es la VERDADERA RAZÓN de que haya disparidades, ya que cada equipo juega 2 partidos contra equipos de cada bombo, lo cual a 4 jornadas te lo paso pero a 8 jornadas difícilmente hay injusticias, ej. el Brest (que objetivamente no tiene mal nivel, viene jugando bien) que todos se quejaban de que se vio beneficiado por el calendario nadie se fijó que luego le venia el Barça y Madrid y se nivelo.

Ejemplo de que esto de los bombos está mal es el Celtic, que además de tener suerte de toparse a los 2 o 3 más malos (suerte que pudo pasar con cualquier formato que en el sorteo te empareje con uno malo) no solo eso sino que se topo y ganó a un equipo bombo 1 como el Leipzing que no debería estar ahí además de que viene jugando mal.

También podrías decir que contrariamente el Leipzing salió perjudicado por el calendario, y es verdad que tuvo mala suerte justo le tocó jugar contra los vengadores y al Villa no le jugó mal (y repito en otro formato alguno también tiene mala suerte con los sorteos o grupo de la muerte es lo mismo), pero contra Celtic y sturm gras no puedes perder y lo hicieron

Para mí debería tomarse en cuenta el coeficiente de la última temporada y NO los últimos 5 años para los bombos y tan tan.

Y también es verdad que ojalá se tomen medidas de alguna forma para que clubes grandes y avariciosos no se salgan con la suya de jugar taaantos partidos y no veamos jugar por lesión por tanto tiempo a nuestras estrellas. 
Se tenía que decir y se dijo, quería desahogarme, mucho texto","2025-02-28T10:15:59.801734Z",30,11.611,"Irrelevant","2025-02-28T10:15:59.801774Z"
32,"1","Saludos, que puedo decir, totalmente en desacuerdo, bueno exgero el algunos puntos, en fin prefiero este formato que el otro, cuidense y bendiciones ","2025-02-28T10:16:11.092854Z",31,9.29,"Positive","2025-02-28T10:16:11.092899Z"
33,"1","buen video, yo lo haría a la Euroliga, tenemos ahí un buen ejemplo. Liga de 16 equipos, 15 partidos (sólo ida y donde toque, eso sí ha podido estar bien este año), y luego los 8 primeros a los míticos cuartos de ida y vuelta, el 1 vs 8, 2 vs 7..etc y luego semis igual que cuartos o final four. Cierto que salen 20 partidos (19 con final four) pero que no haya tantos parones. Cierto que jugarian 16 equipos y habria que definir quienes juegan, igual habria que volver a los 2 por país grande y 1 por pequeño, fomenta tambien las ligas. O jugar una fase previa a ida y vuelta con equipos de paises de peor rango para ver quien entra en los 16...
Está claro que aún falta por mejorar, pero como decís, al menos ya se están interesando","2025-02-28T10:16:16.041218Z",32,3.719,"Irrelevant","2025-02-28T10:16:16.041269Z"
34,"1","6:15 Entiendo el punto, pero al final es lo mismo. Sigue habiendo un factor de azar, solo que ahora la “mala suerte” no la comparten los tres de un grupo de la muerte, sino los tres con el peor calendario, que capaz ni se enfrentan entre ellos.

Es más, hasta puede pasar que los tres con más mala suerte terminen clasificando, mientras que antes ya condenabas a uno solo por el sorteo. Eso sí me parecía más injusto.

Y otra cosa: la Champions nunca ha sido, ni será, un torneo que busque justicia o demostrar quién es el mejor de Europa. Como bien dijeron, si de verdad fuera representativo, todos jugarían contra todos. Así que, tomando en cuenta eso, yo en la Champions no busco justicia busco emoción, y este formato me lo ha dado.

Está de más aclarar que respeto muchísimo su opinión, y efectivamente me metí a este video para conocer todos los puntos de vista sobre este formato, saludos!","2025-02-28T10:16:32.999419Z",33,6.222,"Irrelevant","2025-02-28T10:16:32.999457Z"
35,"1","El formato tiene cosas que no me gustan, pero el anterior era muuucho peor","2025-02-28T10:16:40.083706Z",34,5.416,"Neutral","2025-02-28T10:16:40.083745Z"
36,"1","cualquier novedad siempre tendra resistencia al cambio, deberia haber un ajuste con el tema de los bombos, hay equipos del 3cer bombo del sorteo lo tuvieron facil como el brest u otro equipos.","2025-02-28T10:17:19.117386Z",35,37.557,"Irrelevant","2025-02-28T10:17:19.117438Z"
37,"1","12:10 este argumento es absolutamente estúpido, el seeding de un cuadro funciona así desde siempre y es lo más justo que hay. Lo norma es que gane el 9/10, no el 23/24, lo que quita ventaja al que ha quedado 7/8","2025-02-28T10:17:30.436987Z",36,8.137,"Irrelevant","2025-02-28T10:17:30.437028Z"
38,"1","La última jornada fue espectacular. En en 15min había ya muchísimos goles, y cada gol cambiaba los emparejamientos de 1/16 y 1/8","2025-02-28T10:17:37.504904Z",37,5.919,"Irrelevant","2025-02-28T10:17:37.504947Z"
39,"1","Como colombiano puedo decir que el formato hace mas mediocre la competición, puesto que hace lo mismo de nuestra liga. Aquí clasifican a una siguiente ronda 8 equipos de 20, por lo cual no aspiras a ser el mejor, aspiras a entrar en los 8 y por lo general el que sale campeón es el que llega en mejor racha, pocas veces el primero o segundo del todos contra todos (fase regular) sale campeón. 

El formato de liga para mi estaría bien si clasifican los 16 primeros y se enfrentan 1-16, 2-15 y así sucesivamente, como se hacía en la bendita Copa Libertadores hasta hace unos años.

Gran vídeo como siempre muchachosn","2025-02-28T10:17:45.185531Z",38,6.234,"Negative","2025-02-28T10:17:45.185586Z"
40,"1","A ver nacho para empezar, no importa cual formato se haya utilizado la champions nunca ha sido una competencia que busque la justicia, si no la emoción y la suerte , el liverpool campeon 2005 , el chelsea 2012, el madrid 2022  ninguno de esos fue el mejor equipo de la temporada ni mucho menos, pero fueron campeones gracias a remontadas epicas e inexplicables , donde intervienen otros factores menos la justica","2025-02-28T10:17:57.542283Z",39,10.79,"Irrelevant","2025-02-28T10:17:57.542327Z"
41,"1","El Manchester City hizo 11 puntos de 24, que en el formato de 18 puntos serían 8.25. El año pasado, solo se quedaron Milan, Lens y Shaktar haciendo 8 y 9, todos pasando a Europa League, y el Milan estando con Dortmund y PSG","2025-02-28T10:18:05.255802Z",40,6.373,"Irrelevant","2025-02-28T10:18:05.255843Z"
42,"1","19:40 pero por que son 8 partidos!!! Ay por favor lo que hay que escuchar eso no es argumento para decir que eo formato liga es injusto por dejar vivo a 5 más, ademas el city no gano solo 3 partidos, quedo invicto en 5 partidos ganando 3 y empatando 2, con la soga hasta el cuello pero clasifico a los play off que ahora encima le toca uno gordo como el madrid, dime tu que ventaja hay en eso? Son puras desventajas porque es saturacion para su calendario, es un partido muy exigente que de haber quedado un par de posiciones mas arriba se hubiera evitado","2025-02-28T10:18:41.670300Z",41,34.719,"Irrelevant","2025-02-28T10:18:41.670341Z"
